Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Year,MRP_Level,Item_Outlet_Sales,Item_Class
FDU,15.5,Regular,0.1267918,Baking Goods,262.1568,OUT010,Small,Tier 3,Grocery Store,15,Very_High,2.011444,FD
FDX,9.195,Regular,0.1174848,Snack Foods,158.5578,OUT046,Small,Tier 1,Supermarket Type1,16,High,15.17975,FD
FDH,15.1,Regular,0.1060973,Fruits and Vegetables,43.2796,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,2.861367,FD
FDJ,5.095,Regular,0.1293959,Snack Foods,140.3838,OUT013,High,Tier 3,Supermarket Type1,26,High,13.00926,FD
FDX,15.1,Regular,0.100265,Fruits and Vegetables,142.5786,OUT018,Medium,Tier 3,Supermarket Type2,4,High,23.3065,FD
DRG,12.1,Low Fat,0.01155756,Dairy,165.3526,OUT049,Medium,Tier 1,Supermarket Type1,14,High,20.8857,DR
NCB,6.235,None,0.1191578,Household,263.791,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,7.975738,NC
FDW,15,Low Fat,0.07762262,Breads,121.8414,OUT010,Small,Tier 3,Grocery Store,15,Medium,2,FD
FDT,10.5,Low Fat,0.04119499,Fruits and Vegetables,39.1164,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,31.59096,FD
FDI,10.65,Regular,0.08513595,Snack Foods,232.3668,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,15.86229,FD
FDH,9.8,Regular,0.1068169,Fruits and Vegetables,114.2492,OUT010,Small,Tier 3,Grocery Store,15,Medium,4.056018,FD
DRJ,18.25,Low Fat,0.04421348,Hard Drinks,173.408,OUT013,High,Tier 3,Supermarket Type1,26,High,5.98962,DR
FDP,15.35,Low Fat,0.01374588,Frozen Foods,62.0168,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,24.73528,FD
NCZ,19.6,None,0.09430806,Household,251.8698,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,14.10005,NC
FDY,17,Regular,0.02662276,Canned,144.247,OUT045,Small,Tier 2,Supermarket Type1,11,High,21.83223,FD
FDO,9.6,Regular,0.01423459,Snack Foods,190.2872,OUT049,Medium,Tier 1,Supermarket Type1,14,High,24.84234,FD
FDI,8.51,Regular,0.07852623,Snack Foods,173.5422,OUT049,Medium,Tier 1,Supermarket Type1,14,High,28.81618,FD
NCT,5.88,None,0.0249887,Household,150.3392,OUT018,Medium,Tier 3,Supermarket Type2,4,High,2.976054,NC
FDE,8.905,Low Fat,0.1437122,Frozen Foods,60.2878,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,19.09455,FD
FDQ,5.695,Regular,0.06737308,Breads,258.8988,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,11.91193,FD
FDS,8.85,Low Fat,0.05382209,Fruits and Vegetables,183.8292,OUT013,High,Tier 3,Supermarket Type1,26,High,13.89338,FD
FDR,20.7,Low Fat,0.04301128,Dairy,177.2028,OUT018,Medium,Tier 3,Supermarket Type2,4,High,18.98928,FD
NCH,8.42,None,0.1235571,Household,216.6192,OUT019,Small,Tier 1,Grocery Store,28,Very_High,0.9958452,NC
FDO,6.3,Low Fat,0.1279682,Canned,209.627,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,19.00906,FD
FDB,17.5,Regular,0.007570599,Dairy,144.6102,OUT018,Medium,Tier 3,Supermarket Type2,4,High,15.12447,FD
FDB,20.25,Regular,0.1464274,Canned,92.312,OUT019,Small,Tier 1,Grocery Store,28,Medium,4.038998,FD
FDW,5.765,Low Fat,0.08199679,Baking Goods,40.1164,OUT035,Small,Tier 2,Supermarket Type1,9,Low,13.47652,FD
FDZ,17.75,Regular,0.06777778,Baking Goods,186.924,OUT018,Medium,Tier 3,Supermarket Type2,4,High,16.95453,FD
FDX,5.035,Regular,0.08036255,Breads,229.0036,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,18.89214,FD
FDX,8.355,Low Fat,0.01392906,Baking Goods,94.1462,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,23.59212,FD
DRG,6.13,Low Fat,0.07716995,Dairy,63.0536,OUT017,Small,Tier 2,Supermarket Type1,6,Low,19.42906,DR
FDY,10.5,Regular,0.02031231,Baking Goods,143.3128,OUT046,Small,Tier 1,Supermarket Type1,16,High,10.03489,FD
FDK,12.5,Low Fat,0.1126818,Canned,119.144,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,27.15863,FD
FDK,9.195,Low Fat,0.1008044,Baking Goods,45.4744,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,22.89884,FD
NCA,20.75,None,0.02512588,Health and Hygiene,150.4734,OUT035,Small,Tier 2,Supermarket Type1,9,High,5.920252,NC
FDN,6.305,Regular,0.1225196,Snack Foods,93.0436,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,25.40304,FD
FDA,13.35,Regular,0.1502113,Snack Foods,179.066,OUT017,Small,Tier 2,Supermarket Type1,6,High,15.05864,FD
FDK,7.96,Low Fat,0.02835784,Canned,163.2894,OUT035,Small,Tier 2,Supermarket Type1,9,High,27.74279,FD
NCE,8.92,None,0.1306634,Household,175.237,OUT017,Small,Tier 2,Supermarket Type1,6,High,12.08217,NC
FDG,6.635,Regular,0.006335942,Baking Goods,121.8098,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,16.81857,FD
FDC,15.5,Low Fat,0.032846,Baking Goods,106.7938,OUT013,High,Tier 3,Supermarket Type1,26,Medium,30.11237,FD
DRG,6.13,Low Fat,0.0767359,Dairy,62.4536,OUT046,Small,Tier 1,Supermarket Type1,16,Low,19.61571,DR
FDQ,7.315,Low Fat,0.01530184,Snack Foods,154.434,OUT046,Small,Tier 1,Supermarket Type1,16,High,8.924239,FD
FDQ,16,Regular,0.02937724,Meat,46.1718,OUT010,Small,Tier 3,Grocery Store,15,Low,2.047648,FD
FDR,16.85,Low Fat,0.2333566,Snack Foods,146.576,OUT010,Small,Tier 3,Grocery Store,15,High,2.997953,FD
FDC,15.85,Low Fat,0.1370539,Canned,94.4094,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,11.09321,FD
FDJ,15,Low Fat,0.05906483,Snack Foods,43.4744,OUT046,Small,Tier 1,Supermarket Type1,16,Low,12.49684,FD
NCC,19.1,None,0.1772365,Household,172.3422,OUT035,Small,Tier 2,Supermarket Type1,9,High,15.0087,NC
FDL,19,Low Fat,0.1118303,Frozen Foods,105.4622,OUT013,High,Tier 3,Supermarket Type1,26,Medium,9.034135,FD
FDH,13.5,Low Fat,0.0331446,Baking Goods,84.654,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,14.31422,FD
FDD,16.75,Regular,0.008204465,Canned,99.8674,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,23.46061,FD
FDT,5.26,Regular,0.02439015,Breads,95.9068,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,33.44731,FD
FDE,9.195,Regular,0.06414399,Frozen Foods,85.9566,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,19.67425,FD
FDH,19.35,Low Fat,0.03327563,Meat,173.8738,OUT017,Small,Tier 2,Supermarket Type1,6,High,13.99195,FD
FDW,11.8,Regular,0.1076627,Dairy,224.1772,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,12.89562,FD
FDW,10.6,Low Fat,0.01115195,Breads,40.6454,OUT017,Small,Tier 2,Supermarket Type1,6,Low,4.127936,FD
FDQ,13.65,Regular,0.01306452,Fruits and Vegetables,115.5834,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,11.95847,FD
FDV,14.85,Regular,0.009954237,Snack Foods,158.263,OUT049,Medium,Tier 1,Supermarket Type1,14,High,16.80665,FD
NCN,15.2,None,0.02121436,Health and Hygiene,48.2034,OUT019,Small,Tier 1,Grocery Store,28,Low,2.016596,NC
FDQ,13.5,Regular,0.06785957,Dairy,60.1562,OUT035,Small,Tier 2,Supermarket Type1,9,Low,26.59605,FD
FDV,5.635,Low Fat,0.1034818,Baking Goods,150.005,OUT045,Small,Tier 2,Supermarket Type1,11,High,11.984,FD
FDG,7.405,Low Fat,0.01535818,Canned,92.4146,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,15.79224,FD
NCF,17.35,None,0.2930661,Household,177.0712,OUT019,Small,Tier 1,Grocery Store,28,High,1.985317,NC
FDT,11.35,Low Fat,0.03098139,Snack Foods,51.9008,OUT017,Small,Tier 2,Supermarket Type1,6,Low,13.64933,FD
DRE,20.75,Low Fat,0.02171939,Soft Drinks,153.8024,OUT027,Medium,Tier 3,Supermarket Type3,28,High,50.33681,DR
FDV,16.1,Regular,0.01362329,Fruits and Vegetables,109.3596,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,10.84912,FD
FDD,17.7,Regular,0.04109873,Fruits and Vegetables,80.9276,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,6.022242,FD
NCN,13.1,None,0.01209726,Others,188.853,OUT035,Small,Tier 2,Supermarket Type1,9,High,17.08102,NC
FDQ,14.3,Regular,0.0343826,Baking Goods,96.5726,OUT013,High,Tier 3,Supermarket Type1,26,Medium,23.30961,FD
FDW,9.6,Low Fat,0.03540684,Snack Foods,244.317,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,33.81909,FD
NCS,8.6,None,0.09037434,Household,114.3176,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,17.02974,NC
FDL,5.78,Regular,0.07445113,Snack Foods,264.5568,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,23.91835,FD
FDY,8.195,Low Fat,0.03146713,Baking Goods,91.8462,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,25.19054,FD
FDZ,13.65,Regular,0.07878667,Dairy,184.824,OUT046,Small,Tier 1,Supermarket Type1,16,High,18.15582,FD
FDP,17.35,Low Fat,0.05603225,Baking Goods,102.3016,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,15.82796,FD
NCI,20.25,None,0.05893552,Household,246.646,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,9.987837,NC
FDO,10.395,Regular,0.06457733,Meat,230.5352,OUT019,Small,Tier 1,Grocery Store,28,Very_High,2.98048,FD
FDZ,16.1,Low Fat,0.03430696,Fruits and Vegetables,252.3356,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,15.11889,FD
FDQ,5.785,Regular,0.05358646,Fruits and Vegetables,89.7856,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,10.76722,FD
FDY,17.6,Regular,0.07643192,Meat,113.2202,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,17.88871,FD
FDW,18,Low Fat,0.0390901,Snack Foods,148.4418,OUT045,Small,Tier 2,Supermarket Type1,11,High,27.75479,FD
NCO,12.5,None,0.03154913,Health and Hygiene,99.0384,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.989903,NC
FDK,9.065,Low Fat,0.1152338,Frozen Foods,94.4094,OUT013,High,Tier 3,Supermarket Type1,26,Medium,30.25421,FD
FDZ,16.85,Regular,0.1598256,Frozen Foods,195.5478,OUT035,Small,Tier 2,Supermarket Type1,9,High,21.79749,FD
NCD,16,None,0.07308017,Household,228.4668,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,11.09148,NC
FDF,9.3,Low Fat,0.06672772,Frozen Foods,181.6292,OUT013,High,Tier 3,Supermarket Type1,26,High,13.05726,FD
FDF,6.215,Low Fat,0.01214661,Fruits and Vegetables,37.9848,OUT035,Small,Tier 2,Supermarket Type1,9,Low,20.613,FD
FDW,20.1,Regular,0.02255208,Fruits and Vegetables,226.6036,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,30.14563,FD
FDU,8.77,Regular,0.04703604,Fruits and Vegetables,170.5422,OUT017,Small,Tier 2,Supermarket Type1,6,High,16.17826,FD
FDA,16.25,Low Fat,0.08715865,Dairy,95.141,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,23.33845,FD
FDS,15.15,Low Fat,0.02775614,Baking Goods,150.4708,OUT013,High,Tier 3,Supermarket Type1,26,High,14,FD
NCH,13.15,None,0.09258992,Household,159.5604,OUT013,High,Tier 3,Supermarket Type1,26,High,11.91727,NC
NCK,12.15,None,0.03870455,Household,117.615,OUT013,High,Tier 3,Supermarket Type1,26,Medium,12.87842,NC
FDD,16.2,Low Fat,0.07742788,Frozen Foods,41.8454,OUT019,Small,Tier 1,Grocery Store,28,Low,1.00239,FD
FDV,20.85,Low Fat,0.1212274,Snack Foods,197.5452,OUT035,Small,Tier 2,Supermarket Type1,9,High,21.79954,FD
FDI,18.2,Regular,0.06628452,Fruits and Vegetables,247.2092,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,14.10194,FD
FDD,8.3,Low Fat,0.03549838,Fruits and Vegetables,36.6506,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,12.42564,FD
FDX,6.195,Low Fat,0.07213152,Snack Foods,120.1098,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,24.07993,FD
FDX,15.1,Low Fat,0.05240048,Fruits and Vegetables,216.4166,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,13.07809,FD
NCS,11.5,None,0.02102062,Health and Hygiene,130.7942,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,21.27295,NC
FDL,19,Low Fat,0.1119023,Frozen Foods,105.4622,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,18.06827,FD
FDJ,10.5,Low Fat,0.07154819,Frozen Foods,120.2098,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,5.012478,FD
FDB,8.8,Low Fat,0.07154044,Snack Foods,210.6612,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,11.90886,FD
NCS,9,None,0.1217651,Health and Hygiene,264.1884,OUT019,Small,Tier 1,Grocery Store,28,Very_High,1.003028,NC
FDB,17.75,Low Fat,0.01460974,Fruits and Vegetables,160.4262,OUT045,Small,Tier 2,Supermarket Type1,11,High,19.83793,FD
FDL,6.635,Regular,0.080698,Frozen Foods,39.8506,OUT019,Small,Tier 1,Grocery Store,28,Low,0.9523219,FD
FDB,17.75,Regular,0.1568022,Dairy,242.1538,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,17.8662,FD
FDW,20.75,Low Fat,0.02414486,Fruits and Vegetables,123.373,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,16.97244,FD
FDT,16.7,Regular,0.06229725,Snack Foods,60.6562,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,9.769191,FD
FDK,7.36,Low Fat,0.05205871,Frozen Foods,55.5588,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,20.61196,FD
NCL,13.85,None,0.03140211,Others,40.248,OUT045,Small,Tier 2,Supermarket Type1,11,Low,7.94037,NC
FDZ,15.35,Regular,0.1132172,Fruits and Vegetables,191.1504,OUT046,Small,Tier 1,Supermarket Type1,16,High,9.02825,FD
FDE,12.1,Low Fat,0.04042006,Fruits and Vegetables,177.3002,OUT035,Small,Tier 2,Supermarket Type1,9,High,17.17259,FD
NCK,12.15,None,0.03714862,Household,118.515,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,11.79749,NC
DRE,13.35,Low Fat,0.03113993,Dairy,74.8012,OUT019,Small,Tier 1,Grocery Store,28,Medium,4.058823,DR
NCQ,16.35,None,0.0133639,Others,106.128,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,18.06784,NC
FDB,6.055,Low Fat,0.03095274,Fruits and Vegetables,160.1578,OUT027,Medium,Tier 3,Supermarket Type3,28,High,19.03559,FD
DRF,7.27,Low Fat,0.07136748,Soft Drinks,111.8518,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,20.35762,DR
DRC,13.8,Low Fat,0.0581928,Dairy,246.9802,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,23.87367,DR
FDB,20.25,Regular,0.02297649,Baking Goods,240.3538,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,17,FD
FDS,9.3,Low Fat,0.1112205,Breads,65.7826,OUT046,Small,Tier 1,Supermarket Type1,16,Low,14.72637,FD
FDE,14.15,Low Fat,0.03796769,Starchy Foods,125.6046,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,12.88615,FD
NCT,5.4,None,0.04963482,Health and Hygiene,164.5526,OUT027,Medium,Tier 3,Supermarket Type3,28,High,13.99149,NC
FDL,8.115,Regular,0.03215887,Canned,154.8972,OUT046,Small,Tier 1,Supermarket Type1,16,High,11.06391,FD
FDP,7.42,Regular,0.04506889,Snack Foods,190.8872,OUT019,Small,Tier 1,Grocery Store,28,High,4.952852,FD
NCV,11.1,None,0.03317609,Household,120.1124,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,15.78687,NC
NCO,12.5,None,0.0188453,Health and Hygiene,96.7384,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,28.52099,NC
FDQ,9.8,Regular,0.05637588,Breads,84.6908,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,11.88665,FD
FDQ,19.7,Regular,0.1613563,Canned,253.1014,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,11.08258,FD
FDQ,14.3,Regular,0.03460588,Baking Goods,95.9726,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,22.43554,FD
FDP,19.75,Low Fat,0.03394255,Snack Foods,213.5902,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,20.88202,FD
FDK,18.5,Low Fat,0.02574026,Meat,89.4172,OUT013,High,Tier 3,Supermarket Type1,26,Medium,17.95974,FD
NCJ,6.635,None,0.02693832,Household,174.1396,OUT027,Medium,Tier 3,Supermarket Type3,28,High,23.03962,NC
FDI,12.35,Regular,0.03375448,Meat,199.0426,OUT035,Small,Tier 2,Supermarket Type1,9,High,16.88897,FD
NCW,18,None,0.01537556,Health and Hygiene,156.9604,OUT027,Medium,Tier 3,Supermarket Type3,28,High,27.25803,NC
FDG,5.365,Regular,0.1404583,Seafood,169.7764,OUT049,Medium,Tier 1,Supermarket Type1,14,High,19.22382,FD
NCO,7.27,None,0.04633398,Health and Hygiene,97.2384,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,27.36097,NC
FDH,20.5,Regular,0.01438746,Frozen Foods,82.8592,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,10.96017,FD
FDR,8.71,Low Fat,0.1392284,Canned,49.5376,OUT046,Small,Tier 1,Supermarket Type1,16,Low,24.19253,FD
FDF,7.97,Low Fat,0.0139906,Seafood,109.4596,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,16.75151,FD
FDQ,16,Regular,0.02184637,Meat,48.1718,OUT017,Small,Tier 2,Supermarket Type1,6,Low,15.70107,FD
FDZ,17.6,Low Fat,0.00799436,Dairy,171.6422,OUT013,High,Tier 3,Supermarket Type1,26,High,22.10254,FD
FDV,20.7,Regular,0.1217672,Frozen Foods,118.9466,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,2.972256,FD
FDM,13,Regular,0.03008348,Canned,61.922,OUT035,Small,Tier 2,Supermarket Type1,9,Low,25.16023,FD
FDV,20.2,Regular,0.1180251,Baking Goods,195.811,OUT017,Small,Tier 2,Supermarket Type1,6,High,13.03983,FD
FDG,20.35,Low Fat,0.06064921,Baking Goods,232.7616,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,12.08249,FD
FDN,18.6,Low Fat,0.1519317,Breakfast,101.1358,OUT013,High,Tier 3,Supermarket Type1,26,Medium,10.93474,FD
DRN,15,Low Fat,0.06383101,Hard Drinks,46.206,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,28.24239,DR
FDU,13.35,Low Fat,0.1030914,Dairy,229.9352,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,10.95694,FD
FDZ,17.85,Low Fat,0.05238941,Snack Foods,120.9072,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,23.30437,FD
NCQ,16.35,None,0.01335531,Others,105.528,OUT013,High,Tier 3,Supermarket Type1,26,Medium,19.18005,NC
FDF,14.85,Regular,0.01955086,Dairy,263.791,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,15.95148,FD
FDT,21.25,Low Fat,0.01005532,Meat,183.1608,OUT017,Small,Tier 2,Supermarket Type1,6,High,15.04914,FD
FDN,14.15,Low Fat,0.03484567,Snack Foods,242.7828,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,13.04819,FD
FDJ,17.2,Regular,0.02516202,Canned,145.9418,OUT035,Small,Tier 2,Supermarket Type1,9,High,12.09867,FD
FDN,13.15,Low Fat,0.02268522,Fruits and Vegetables,161.592,OUT027,Medium,Tier 3,Supermarket Type3,28,High,26.69924,FD
FDQ,10.85,Low Fat,0.1625716,Snack Foods,107.4622,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,4.925555,FD
FDX,20.35,Regular,0.01482561,Fruits and Vegetables,233.2958,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,18.03086,FD
NCH,16.35,None,0.05803435,Household,124.802,OUT010,Small,Tier 3,Grocery Store,15,Medium,2.027243,NC
DRM,9.3,Low Fat,0.04378569,Hard Drinks,191.6846,OUT046,Small,Tier 1,Supermarket Type1,16,High,15.94992,DR
DRL,19.5,Regular,0.07679861,Soft Drinks,231.8958,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,36.27944,DR
FDO,15.75,Low Fat,0.05524124,Baking Goods,196.5452,OUT017,Small,Tier 2,Supermarket Type1,6,High,15.93488,FD
NCK,14.85,None,0.06110223,Household,253.2698,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,9.014214,NC
FDP,18.6,Low Fat,0.03951712,Frozen Foods,243.6802,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,24.19698,FD
NCG,16.35,None,0.02956531,Household,256.4646,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,2.009358,NC
FDX,9.695,Regular,0.1282832,Baking Goods,226.1404,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,14.92704,FD
FDT,15.15,Regular,0.01233267,Snack Foods,130.0284,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,27.37376,FD
FDF,14.3,Regular,0.06519523,Fruits and Vegetables,88.9856,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,18.76513,FD
FDA,10.895,Low Fat,0.1082539,Fruits and Vegetables,194.8794,OUT010,Small,Tier 3,Grocery Store,15,High,3.003079,FD
NCN,8.39,None,0.1211788,Household,165.1868,OUT017,Small,Tier 2,Supermarket Type1,6,High,16.85592,NC
DRF,18.35,Low Fat,0.0287154,Dairy,151.934,OUT013,High,Tier 3,Supermarket Type1,26,High,2.015796,DR
NCX,15.2,None,0.09698132,Health and Hygiene,116.3492,OUT013,High,Tier 3,Supermarket Type1,26,Medium,21.90546,NC
FDM,20.2,Low Fat,0.06435191,Snack Foods,259.4646,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,7.944501,FD
NCG,12.1,None,0.0794198,Household,172.3106,OUT027,Medium,Tier 3,Supermarket Type3,28,High,31.77715,NC
FDD,8.71,Regular,0.0723018,Canned,185.6924,OUT045,Small,Tier 2,Supermarket Type1,11,High,17.94184,FD
FDU,12.15,Low Fat,0.02171939,Breads,163.1184,OUT035,Small,Tier 2,Supermarket Type1,9,High,21.25748,FD
FDO,8.06,Low Fat,0.02142003,Breakfast,232.0326,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,12.94397,FD
FDP,11.5,Low Fat,0.2904303,Fruits and Vegetables,130.6652,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.977041,FD
FDT,14.85,Low Fat,0.01857164,Canned,187.3214,OUT046,Small,Tier 1,Supermarket Type1,16,High,23.13506,FD
FDY,11.8,Low Fat,0.1251781,Fruits and Vegetables,45.2402,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,25.38682,FD
DRI,14.7,Low Fat,0.0209527,Hard Drinks,143.5128,OUT049,Medium,Tier 1,Supermarket Type1,14,High,17.03554,DR
NCW,18.2,None,0.1023716,Household,221.2456,OUT019,Small,Tier 1,Grocery Store,28,Very_High,2.997288,NC
NCQ,18.75,None,0.0342788,Household,214.1218,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,20.96077,NC
FDQ,7.235,Low Fat,0.06427494,Snack Foods,115.1834,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,12,FD
FDI,19.1,Low Fat,0.03837701,Fruits and Vegetables,211.5586,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,20.95037,FD
NCP,19.6,None,0.0253259,Health and Hygiene,150.9024,OUT049,Medium,Tier 1,Supermarket Type1,14,High,25.1491,NC
FDH,7.27,Regular,0.02089869,Canned,92.2488,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,8.834144,FD
FDH,15.1,Regular,0.1058811,Fruits and Vegetables,42.0796,OUT045,Small,Tier 2,Supermarket Type1,11,Low,10.79087,FD
DRG,7.81,Low Fat,0.1129063,Soft Drinks,243.5486,OUT010,Small,Tier 3,Grocery Store,15,Very_High,2.00657,DR
FDA,7.81,Regular,0.05521631,Canned,125.5046,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,25.79284,FD
FDS,6.465,Low Fat,0.1252104,Canned,266.8884,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,3.971524,FD
NCW,18.2,None,0.05818584,Household,220.8456,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,19.01721,NC
FDK,10.8,Low Fat,0.09881472,Meat,100.5042,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,18.75424,FD
FDX,9.5,Regular,0.02205872,Meat,196.8452,OUT046,Small,Tier 1,Supermarket Type1,16,High,17.89941,FD
FDJ,20.7,Regular,0.1000916,Fruits and Vegetables,125.5388,OUT013,High,Tier 3,Supermarket Type1,26,Medium,16.76979,FD
DRK,8.895,Low Fat,0.0758766,Hard Drinks,235.9616,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,7.945754,DR
FDL,15.6,Low Fat,0.03784136,Snack Foods,125.2704,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,20.98324,FD
FDH,9,Low Fat,0.08194327,Frozen Foods,214.5534,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,16.03729,FD
FDD,19.35,Low Fat,0.01664516,Frozen Foods,120.9098,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,13.95368,FD
FDZ,19.7,Regular,0.01806132,Meat,102.599,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,20.11696,FD
FDY,17.6,Regular,0.0280624,Breads,44.0402,OUT019,Small,Tier 1,Grocery Store,28,Low,2.086285,FD
NCE,5.825,None,0.0918579,Household,160.7894,OUT018,Medium,Tier 3,Supermarket Type2,4,High,10.06219,NC
FDE,9.6,Low Fat,0.03610941,Fruits and Vegetables,140.6154,OUT027,Medium,Tier 3,Supermarket Type3,28,High,32.27309,FD
FDD,12.85,Low Fat,0.1086334,Fruits and Vegetables,233.8642,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,9.93586,FD
FDQ,12.85,Low Fat,0.03324652,Snack Foods,172.4422,OUT045,Small,Tier 2,Supermarket Type1,11,High,26,FD
FDN,17.5,Low Fat,0.01672013,Meat,139.918,OUT013,High,Tier 3,Supermarket Type1,26,High,2.997856,FD
FDS,17,Low Fat,0.05543338,Dairy,221.1114,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,20.05427,FD
FDX,7.05,Low Fat,0.08496602,Snack Foods,111.1912,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,17.67623,FD
FDL,5.78,Regular,0.07413505,Snack Foods,264.0568,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,7.987881,FD
